seqnames	start	end	width	strand	ratio	read.corrected
19	47690000	47694999	5000	*	1.14920754955654	1.14920754955654
19	47695000	47699999	5000	*	1.10821839227039	1.10821839227039
19	47700000	47704999	5000	*	1.21784330965323	1.21784330965323
19	47705000	47709999	5000	*	1.03268875489826	1.03268875489826
19	47710000	47714999	5000	*	1.07418591091972	1.07418591091972
19	47715000	47719999	5000	*	1.07406671967509	1.07406671967509
19	47720000	47724999	5000	*	1.10284769420986	1.10284769420986
19	47725000	47729999	5000	*	1.10918029737843	1.10918029737843
19	47730000	47734999	5000	*	1.005818592825	1.005818592825
19	47735000	47739999	5000	*	1.03213172406057	1.03213172406057
19	47740000	47744999	5000	*	1.06122539582246	1.06122539582246
19	47745000	47749999	5000	*	1.04473211004961	1.04473211004961
19	47750000	47754999	5000	*	1.21061794017293	1.21061794017293
19	47755000	47759999	5000	*	1.04951009602281	1.04951009602281
19	47760000	47764999	5000	*	1.07688584497458	1.07688584497458
19	47765000	47769999	5000	*	1.09267545994646	1.09267545994646
19	47770000	47774999	5000	*	1.11607569173708	1.11607569173708
19	47775000	47779999	5000	*	1.0519332913914	1.0519332913914
19	47780000	47784999	5000	*	1.12120143345383	1.12120143345383
19	47785000	47789999	5000	*	1.09467062712644	1.09467062712644
19	47790000	47794999	5000	*	1.15219951313203	1.15219951313203
19	47795000	47799999	5000	*	1.07062520637744	1.07062520637744
19	47800000	47804999	5000	*	1.04597418329316	1.04597418329316
19	47805000	47809999	5000	*	1.12675138996707	1.12675138996707
19	47810000	47814999	5000	*	1.05499539245873	1.05499539245873
19	47815000	47819999	5000	*	1.07842149851347	1.07842149851347
19	47820000	47824999	5000	*	1.09368425245549	1.09368425245549
19	47825000	47829999	5000	*	1.03067450267269	1.03067450267269
19	47830000	47834999	5000	*	1.06401536602816	1.06401536602816
19	47835000	47839999	5000	*	1.09222066824018	1.09222066824018
19	47840000	47844999	5000	*	1.06233060145692	1.06233060145692
19	47845000	47849999	5000	*	1.05979926706678	1.05979926706678
19	47850000	47854999	5000	*	1.09742317144287	1.09742317144287
19	47855000	47859999	5000	*	1.0970765724048	1.0970765724048
19	47860000	47864999	5000	*	1.01357086725593	1.01357086725593
19	47865000	47869999	5000	*	1.08604426318725	1.08604426318725
19	47870000	47874999	5000	*	1.07263296799955	1.07263296799955
19	47875000	47879999	5000	*	1.08731960932902	1.08731960932902
19	47880000	47884999	5000	*	1.07303327936424	1.07303327936424
19	47885000	47889999	5000	*	1.03203772879128	1.03203772879128
19	47890000	47894999	5000	*	1.06483818606589	1.06483818606589
19	47895000	47899999	5000	*	1.12887473415429	1.12887473415429
19	47900000	47904999	5000	*	1.07481667244798	1.07481667244798
19	47905000	47909999	5000	*	1.07391696026789	1.07391696026789
19	47910000	47914999	5000	*	1.02800949754615	1.02800949754615
19	47915000	47919999	5000	*	1.08588198261799	1.08588198261799
19	47920000	47924999	5000	*	1.05323201287644	1.05323201287644
19	47925000	47929999	5000	*	1.07825547660742	1.07825547660742
19	47930000	47934999	5000	*	1.02549756823111	1.02549756823111
19	47935000	47939999	5000	*	1.07418442896809	1.07418442896809
19	47940000	47944999	5000	*	1.04158023479333	1.04158023479333
19	47945000	47949999	5000	*	1.0773717822325	1.0773717822325
19	47950000	47954999	5000	*	1.06058282385574	1.06058282385574
19	47955000	47959999	5000	*	1.09039044321031	1.09039044321031
19	47960000	47964999	5000	*	1.01429497391991	1.01429497391991
19	47965000	47969999	5000	*	1.07464039158343	1.07464039158343
19	47970000	47974999	5000	*	1.10738782737089	1.10738782737089
19	47975000	47979999	5000	*	1.04610110314483	1.04610110314483
19	47980000	47984999	5000	*	1.0364789768969	1.0364789768969
19	47985000	47989999	5000	*	1.16581331816047	1.16581331816047
19	47990000	47994999	5000	*	1.05306301635079	1.05306301635079
19	47995000	47999999	5000	*	1.05251431059656	1.05251431059656
19	48000000	48004999	5000	*	1.03117827249433	1.03117827249433
19	48005000	48009999	5000	*	1.04275938340572	1.04275938340572
19	48010000	48014999	5000	*	1.09595366279421	1.09595366279421
19	48015000	48019999	5000	*	1.08065023351503	1.08065023351503
19	48020000	48024999	5000	*	1.08210862172754	1.08210862172754
19	48025000	48029999	5000	*	1.17548592686053	1.17548592686053
19	48030000	48034999	5000	*	1.0956554066944	1.0956554066944
19	48035000	48039999	5000	*	1.09889855926559	1.09889855926559
19	48040000	48044999	5000	*	1.07376744014459	1.07376744014459
19	48045000	48049999	5000	*	1.04121451002214	1.04121451002214
19	48050000	48054999	5000	*	1.08600910508791	1.08600910508791
19	48055000	48059999	5000	*	1.02688343675049	1.02688343675049
19	48060000	48064999	5000	*	1.08283521165795	1.08283521165795
19	48065000	48069999	5000	*	1.08880345238217	1.08880345238217
19	48070000	48074999	5000	*	1.0556200390444	1.0556200390444
19	48075000	48079999	5000	*	1.13526051857757	1.13526051857757
19	48080000	48084999	5000	*	1.10673217219139	1.10673217219139
19	48085000	48089999	5000	*	1.06252387101734	1.06252387101734
19	48090000	48094999	5000	*	1.13037650736378	1.13037650736378
19	48095000	48099999	5000	*	1.13551672702675	1.13551672702675
19	48100000	48104999	5000	*	1.0858022581208	1.0858022581208
19	48105000	48109999	5000	*	1.12643932400258	1.12643932400258
19	48110000	48114999	5000	*	1.05863538522403	1.05863538522403
19	48115000	48119999	5000	*	1.07620239115589	1.07620239115589
19	48120000	48124999	5000	*	1.12824452174662	1.12824452174662
19	48125000	48129999	5000	*	1.08378260427594	1.08378260427594
19	48130000	48134999	5000	*	1.06771389628803	1.06771389628803
19	48135000	48139999	5000	*	1.07981534994558	1.07981534994558
19	48140000	48144999	5000	*	1.09353234790149	1.09353234790149
19	48145000	48149999	5000	*	1.14630850924188	1.14630850924188
19	48150000	48154999	5000	*	1.09964462801849	1.09964462801849
19	48155000	48159999	5000	*	1.12443073602351	1.12443073602351
19	48160000	48164999	5000	*	1.07187688423071	1.07187688423071
19	48165000	48169999	5000	*	1.08522643600941	1.08522643600941
19	48170000	48174999	5000	*	1.08822555422381	1.08822555422381
19	48175000	48179999	5000	*	1.04392066393836	1.04392066393836
19	48180000	48184999	5000	*	1.06732925277154	1.06732925277154
19	48185000	48189999	5000	*	1.05757412178583	1.05757412178583
19	48190000	48194999	5000	*	1.07240114506012	1.07240114506012
19	48195000	48199999	5000	*	1.01258119988796	1.01258119988796
19	48200000	48204999	5000	*	1.09378418745811	1.09378418745811
19	48205000	48209999	5000	*	1.11065752046775	1.11065752046775
19	48210000	48214999	5000	*	1.11354912846298	1.11354912846298
19	48215000	48219999	5000	*	1.12997709646374	1.12997709646374
19	48220000	48224999	5000	*	1.06091181457688	1.06091181457688
19	48225000	48229999	5000	*	1.07588422562861	1.07588422562861
19	48230000	48234999	5000	*	1.02025752963518	1.02025752963518
19	48235000	48239999	5000	*	1.12068881460762	1.12068881460762
19	48240000	48244999	5000	*	1.07123235734729	1.07123235734729
19	48245000	48249999	5000	*	1.10562839032653	1.10562839032653
19	48250000	48254999	5000	*	1.08766990076524	1.08766990076524
19	48255000	48259999	5000	*	1.05712061873327	1.05712061873327
19	48260000	48264999	5000	*	1.12862147067017	1.12862147067017
19	48265000	48269999	5000	*	1.12201936568097	1.12201936568097
19	48270000	48274999	5000	*	1.11181037672855	1.11181037672855
19	48275000	48279999	5000	*	1.03335255283513	1.03335255283513
19	48280000	48284999	5000	*	1.06736250579859	1.06736250579859
